基地面積,建築面積,總樓地板面積,建築物高度,建造類別,構造別,地號,樓層用途
163.25,121.14,438.25,13.75,新建,鋼筋混凝土(RC),宜蘭縣蘇澳鎮,"G3店鋪,停車空間"
163.25,121.14,438.25,13.75,新建,鋼筋混凝土(RC),宜蘭縣蘇澳鎮,H2住宅
163.25,121.14,438.25,13.75,新建,鋼筋混凝土(RC),宜蘭縣蘇澳鎮,H2住宅
163.25,121.14,438.25,13.75,新建,鋼筋混凝土(RC),宜蘭縣蘇澳鎮,H2住宅
163.25,121.14,438.25,13.75,新建,鋼筋混凝土(RC),宜蘭縣蘇澳鎮,樓梯間
159.0,94.8,278.34,12.9,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
159.0,94.8,278.34,12.9,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
159.0,94.8,278.34,12.9,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
159.0,94.8,278.34,12.9,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
186.0,108.0,322.66,12.9,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
186.0,108.0,322.66,12.9,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
186.0,108.0,322.66,12.9,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
186.0,108.0,322.66,12.9,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
407.37,196.46,942.84,17.2,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,停車空間
407.37,196.46,942.84,17.2,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2集合住宅
407.37,196.46,942.84,17.2,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2集合住宅
407.37,196.46,942.84,17.2,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2集合住宅
407.37,196.46,942.84,17.2,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2集合住宅
407.37,196.46,942.84,17.2,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,樓梯間
407.37,196.46,942.84,17.2,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,水塔
150969.0,30874.45,191615.59,18.9,新建,鋼骨造，鋼筋混凝土(RC),宜蘭縣宜蘭市,H1宿舍(電梯間)
150969.0,30874.45,191615.59,18.9,新建,鋼骨造，鋼筋混凝土(RC),宜蘭縣宜蘭市,H1宿舍(電梯間)
150969.0,30874.45,191615.59,18.9,新建,鋼骨造，鋼筋混凝土(RC),宜蘭縣宜蘭市,H1宿舍(電梯間)
150969.0,30874.45,191615.59,18.9,新建,鋼骨造，鋼筋混凝土(RC),宜蘭縣宜蘭市,H1宿舍(電梯間)
150969.0,30874.45,191615.59,18.9,新建,鋼骨造，鋼筋混凝土(RC),宜蘭縣宜蘭市,H1宿舍(電梯間)
150969.0,30874.45,191615.59,18.9,新建,鋼骨造，鋼筋混凝土(RC),宜蘭縣宜蘭市,H1宿舍(電梯間)
150969.0,30874.45,191615.59,18.9,新建,鋼骨造，鋼筋混凝土(RC),宜蘭縣宜蘭市,(電梯機道)
150969.0,30874.45,191615.59,18.9,新建,鋼骨造，鋼筋混凝土(RC),宜蘭縣宜蘭市,H1宿舍(過廊)
150969.0,30874.45,191615.59,18.9,新建,鋼骨造，鋼筋混凝土(RC),宜蘭縣宜蘭市,H1宿舍(過廊)
150969.0,30874.45,191615.59,18.9,新建,鋼骨造，鋼筋混凝土(RC),宜蘭縣宜蘭市,H1宿舍(過廊)
150969.0,30874.45,191615.59,18.9,新建,鋼骨造，鋼筋混凝土(RC),宜蘭縣宜蘭市,H1宿舍(過廊)
150969.0,30874.45,191615.59,18.9,新建,鋼骨造，鋼筋混凝土(RC),宜蘭縣宜蘭市,H1宿舍(過廊)
99.0,59.19,194.53,10.2,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅
99.0,59.19,194.53,10.2,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅
99.0,59.19,194.53,10.2,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅
99.0,59.19,194.53,10.2,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,樓梯間
194.32,94.63,275.15,10.5,新建,鋼筋混凝土(RC),宜蘭縣壯圍鄉,私設騎樓
194.32,94.63,275.15,10.5,新建,鋼筋混凝土(RC),宜蘭縣壯圍鄉,G3店舖、H2住宅
194.32,94.63,275.15,10.5,新建,鋼筋混凝土(RC),宜蘭縣壯圍鄉,H2住宅
194.32,94.63,275.15,10.5,新建,鋼筋混凝土(RC),宜蘭縣壯圍鄉,H2住宅
213.86,94.63,275.15,10.5,新建,鋼筋混凝土(RC),宜蘭縣壯圍鄉,私設騎樓
213.86,94.63,275.15,10.5,新建,鋼筋混凝土(RC),宜蘭縣壯圍鄉,G3店舖、H2住宅
213.86,94.63,275.15,10.5,新建,鋼筋混凝土(RC),宜蘭縣壯圍鄉,H2住宅
213.86,94.63,275.15,10.5,新建,鋼筋混凝土(RC),宜蘭縣壯圍鄉,H2住宅
105.3,61.28,152.77,10.48,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
105.3,61.28,152.77,10.48,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
105.3,61.28,152.77,10.48,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
102.6,59.7,152.77,10.48,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
102.6,59.7,152.77,10.48,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
102.6,59.7,152.77,10.48,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
102.6,61.28,152.77,10.48,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
102.6,61.28,152.77,10.48,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
102.6,61.28,152.77,10.48,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
102.6,61.28,152.77,10.48,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
102.6,61.28,152.77,10.48,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
102.6,61.28,152.77,10.48,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
105.3,61.28,152.77,10.48,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
105.3,61.28,152.77,10.48,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
105.3,61.28,152.77,10.48,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
135.55,64.35,193.05,10.48,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
135.55,64.35,193.05,10.48,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
135.55,64.35,193.05,10.48,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
135.56,64.35,193.05,10.48,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
135.56,64.35,193.05,10.48,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
135.56,64.35,193.05,10.48,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
126.52,78.67,49.2,15.65,增建,鋼筋混凝土(RC),宜蘭縣宜蘭市,G3店舖
126.52,78.67,49.2,15.65,增建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅
126.52,78.67,49.2,15.65,增建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅
126.52,78.67,49.2,15.65,增建,鋼筋混凝土(RC),宜蘭縣宜蘭市,樓梯間
66035.28,5888.51,9453.51,13.35,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,G2政府機關
66035.28,5888.51,9453.51,13.35,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,G2政府機關
66035.28,5888.51,9453.51,13.35,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,G2政府機關
116.98,67.55,163.19,12.07,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
116.98,67.55,163.19,12.07,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
116.98,67.55,163.19,12.07,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
116.97,68.04,175.35,12.07,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
116.97,68.04,175.35,12.07,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
116.97,68.04,175.35,12.07,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
169.29,85.54,227.58,12.07,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
169.29,85.54,227.58,12.07,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
169.29,85.54,227.58,12.07,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
5055.83,1308.03,3040.22,6.95,新建,鋼骨造,宜蘭縣五結鄉,C2工場(廠)(動力＜15匹馬力且或電熱＜60千瓦)
5055.83,1308.03,3040.22,6.95,新建,鋼骨造,宜蘭縣五結鄉,樓梯間
5055.83,1308.03,3040.22,6.95,新建,鋼骨造,宜蘭縣五結鄉,樓梯間、水箱
5055.83,1308.03,3040.22,6.95,新建,鋼骨造,宜蘭縣五結鄉,防空避難室兼停車空間
181.13,15.97,459.31,10.35,新建,鋼筋混凝土(RC),宜蘭縣蘇澳鎮,騎樓
181.13,15.97,459.31,10.35,新建,鋼筋混凝土(RC),宜蘭縣蘇澳鎮,G3店鋪
181.13,15.97,459.31,10.35,新建,鋼筋混凝土(RC),宜蘭縣蘇澳鎮,H2住宅
181.13,15.97,459.31,10.35,新建,鋼筋混凝土(RC),宜蘭縣蘇澳鎮,H2住宅
181.13,15.97,459.31,10.35,新建,鋼筋混凝土(RC),宜蘭縣蘇澳鎮,樓梯間
98.87,59.28,163.94,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
98.87,59.28,163.94,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
98.87,59.28,163.94,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
104.54,59.28,171.12,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
104.54,59.28,171.12,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
104.54,59.28,171.12,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
128.37,75.88,213.61,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
128.37,75.88,213.61,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
128.37,75.88,213.61,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
105.88,63.15,174.83,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
105.88,63.15,174.83,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
105.88,63.15,174.83,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
109.99,65.7,182.8,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
109.99,65.7,182.8,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
109.99,65.7,182.8,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
110.24,65.7,182.8,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
110.24,65.7,182.8,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
110.24,65.7,182.8,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
110.51,65.7,182.8,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
110.51,65.7,182.8,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
110.51,65.7,182.8,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
705.73,404.45,676.12,9.3,新建,鋼骨鋼筋混凝土(SRC),宜蘭縣礁溪鄉,B3餐廳
705.73,404.45,676.12,9.3,新建,鋼骨鋼筋混凝土(SRC),宜蘭縣礁溪鄉,B3餐廳
705.73,404.45,676.12,9.3,新建,鋼骨鋼筋混凝土(SRC),宜蘭縣礁溪鄉,樓梯間
150969.0,31065.76,191805.51,4.2,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,D4校舍(教職員工學餐廳)
11232.88,2014.79,2301.22,10.73,新建,鋼骨造,宜蘭縣三星鄉,C2廠房
11232.88,2014.79,2301.22,10.73,新建,鋼骨造,宜蘭縣三星鄉,C2廠房-(機房)
137.33,55.74,135.22,12.07,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
137.33,55.74,135.22,12.07,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
137.33,55.74,135.22,12.07,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
280.9,124.01,270.9,12.07,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
280.9,124.01,270.9,12.07,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
280.9,124.01,270.9,12.07,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
1991.03,1176.0,2970.7,13.5,增建,鋼筋混凝土(RC),宜蘭縣宜蘭市,C2工廠
1991.03,1176.0,2970.7,13.5,增建,鋼筋混凝土(RC),宜蘭縣宜蘭市,C2工廠
1077.51,526.02,1713.05,12.01,新建,鋼筋混凝土(RC),宜蘭縣礁溪鄉,H2住宅(355.65)、H2停車空間(164.92)
1077.51,526.02,1713.05,12.01,新建,鋼筋混凝土(RC),宜蘭縣礁溪鄉,H2住宅
1077.51,526.02,1713.05,12.01,新建,鋼筋混凝土(RC),宜蘭縣礁溪鄉,H2住宅
1077.51,526.02,1713.05,12.01,新建,鋼筋混凝土(RC),宜蘭縣礁溪鄉,H2樓梯間
99.16,59.28,163.94,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
99.16,59.28,163.94,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
99.16,59.28,163.94,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
103.75,62.2,172.3,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
103.75,62.2,172.3,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
103.75,62.2,172.3,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
121.45,64.2,185.04,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
121.45,64.2,185.04,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
121.45,64.2,185.04,10.15,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
158.0,76.63,266.86,13.8,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅
158.0,76.63,266.86,13.8,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅
158.0,76.63,266.86,13.8,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅
158.0,76.63,266.86,13.8,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅
158.0,76.63,266.86,13.8,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,水箱
3518.0,174.24,248.8,7.45,新建,鋼筋混凝土(RC),宜蘭縣壯圍鄉,H2農舍
3518.0,174.24,248.8,7.45,新建,鋼筋混凝土(RC),宜蘭縣壯圍鄉,H2農舍
220.0,103.34,431.26,13.9,新建,鋼筋混凝土(RC),宜蘭縣壯圍鄉,H2住宅
220.0,103.34,431.26,13.9,新建,鋼筋混凝土(RC),宜蘭縣壯圍鄉,H2住宅
220.0,103.34,431.26,13.9,新建,鋼筋混凝土(RC),宜蘭縣壯圍鄉,H2住宅
220.0,103.34,431.26,13.9,新建,鋼筋混凝土(RC),宜蘭縣壯圍鄉,H2住宅
220.0,103.34,431.26,13.9,新建,鋼筋混凝土(RC),宜蘭縣壯圍鄉,樓梯間
220.0,103.34,431.26,13.9,新建,鋼筋混凝土(RC),宜蘭縣壯圍鄉,電梯間
1442.0,104.13,312.81,10.5,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2農舍
1442.0,104.13,312.81,10.5,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2農舍(室外玄關)
1442.0,104.13,312.81,10.5,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2農舍
1442.0,104.13,312.81,10.5,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2農舍
1442.0,104.13,312.81,10.5,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,樓梯間
201.61,104.33,310.06,10.5,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,門廊
201.61,104.33,310.06,10.5,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅54.77m2停車空間42.78m2
201.61,104.33,310.06,10.5,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅
201.61,104.33,310.06,10.5,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅
201.61,104.33,310.06,10.5,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,樓梯間
203.4,111.82,310.68,10.5,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,門廊
203.4,111.82,310.68,10.5,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅57.13m2停車空間48m2
203.4,111.82,310.68,10.5,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅
203.4,111.82,310.68,10.5,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,H2住宅
203.4,111.82,310.68,10.5,新建,鋼筋混凝土(RC),宜蘭縣宜蘭市,樓梯間
5258.0,1363.71,983.71,12.8,新建,鋼筋混凝土(RC),宜蘭縣蘇澳鎮,C2倉庫、C2倉庫(附屬空間:出貨雨棚)
5258.0,1363.71,983.71,12.8,新建,鋼筋混凝土(RC),宜蘭縣蘇澳鎮,C2倉庫(附屬空間:處理廠.消防機房)
5258.0,1363.71,983.71,12.8,新建,鋼筋混凝土(RC),宜蘭縣蘇澳鎮,C2(附屬空間:無障礙廁所)
1521.38,100.0,227.83,9.84,新建,鋼筋混凝土(RC),宜蘭縣礁溪鄉,H2農舍
1521.38,100.0,227.83,9.84,新建,鋼筋混凝土(RC),宜蘭縣礁溪鄉,H2農舍
1521.38,100.0,227.83,9.84,新建,鋼筋混凝土(RC),宜蘭縣礁溪鄉,H2農舍
8162.94,138.84,77.59,3.55,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,守衛室
8162.94,138.84,77.59,3.55,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,農特產品調理設施
100.0,59.84,174.22,10.2,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
100.0,59.84,174.22,10.2,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
100.0,59.84,174.22,10.2,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
100.0,59.84,174.22,10.2,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,樓梯間
100.0,56.95,173.45,10.2,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
100.0,56.95,173.45,10.2,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
100.0,56.95,173.45,10.2,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
100.0,56.95,173.45,10.2,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,樓梯間
2348.18,159.53,159.53,8.02,新建,鋼骨造,宜蘭縣五結鄉,H2農舍
708.92,183.51,230.52,7.1,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
708.92,183.51,230.52,7.1,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
708.92,183.51,230.52,7.1,新建,鋼筋混凝土(RC),宜蘭縣冬山鄉,H2住宅
98.25,58.88,174.16,13.5,新建,鋼筋混凝土(RC),宜蘭縣員山鄉,H2住宅
98.25,58.88,174.16,13.5,新建,鋼筋混凝土(RC),宜蘭縣員山鄉,H2住宅
98.25,58.88,174.16,13.5,新建,鋼筋混凝土(RC),宜蘭縣員山鄉,H2住宅
98.25,58.88,174.16,13.5,新建,鋼筋混凝土(RC),宜蘭縣員山鄉,H2住宅
521.55,209.01,639.55,10.5,新建,鋼筋混凝土(RC),宜蘭縣壯圍鄉,騎樓
521.55,209.01,639.55,10.5,新建,鋼筋混凝土(RC),宜蘭縣壯圍鄉,H2住宅(109.86㎡).停車空間(31.9㎡)。
521.55,209.01,639.55,10.5,新建,鋼筋混凝土(RC),宜蘭縣壯圍鄉,H2住宅
521.55,209.01,639.55,10.5,新建,鋼筋混凝土(RC),宜蘭縣壯圍鄉,H2住宅
521.55,209.01,639.55,10.5,新建,鋼筋混凝土(RC),宜蘭縣壯圍鄉,樓梯間
90.3,54.16,182.64,10.5,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,G3店舖(＜500㎡)
90.3,54.16,182.64,10.5,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
90.3,54.16,182.64,10.5,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
90.3,54.16,182.64,10.5,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,樓梯間
128.34,66.48,248.74,11.75,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅、停車空間(17.76㎡)
128.34,66.48,248.74,11.75,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
128.34,66.48,248.74,11.75,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
128.34,66.48,248.74,11.75,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
128.34,66.48,248.74,11.75,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,梯間
94.57,56.74,187.5,10.5,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,G3店舖(＜500㎡)
94.57,56.74,187.5,10.5,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
94.57,56.74,187.5,10.5,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
94.57,56.74,187.5,10.5,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,樓梯間
89.54,53.71,180.33,10.5,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,G3店舖(＜500㎡)
89.54,53.71,180.33,10.5,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
89.54,53.71,180.33,10.5,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,H2住宅
89.54,53.71,180.33,10.5,新建,鋼筋混凝土(RC),宜蘭縣五結鄉,樓梯間
